SNR_dB,BER_FSK,BER_BPSK
-5,0.4268762742616485,0.2132280183576204
-4,0.4097529893508407,0.186113817483389
-3,0.389169305511111,0.15836831880959795
-2,0.3647198140938417,0.13064448852282917
-1,0.33611184649994547,0.10375909595340632
0,0.3032653298563167,0.07864960352514258
1,0.2664390181651147,0.05628195197654147
2,0.2263678887647433,0.03750612835892598
3,0.18437596130493228,0.02287840756108532
4,0.1424035434814758,0.01250081804073755
5,0.10287033054190721,0.005953867147778662
6,0.06831109822261483,0.002388290780932807
7,0.04079958583623128,0.0007726748153784446
8,0.021323747889132938,0.00019090777407599314
9,0.009421241978988968,3.3627228419617505e-05
10,0.0033689734995427335,3.872108215522035e-06
11,0.0009230988437601748,2.613067953575199e-07
12,0.00018089150200558809,9.006010350628754e-09
13,2.324411083572357e-05,1.3329310175300506e-10
14,1.7558116345776617e-06,1e-10
15,6.794716076499618e-08,1e-10
16,1.132876675884514e-09,1e-10
17,1e-10,1e-10
18,1e-10,1e-10
19,1e-10,1e-10
20,1e-10,1e-10
