SNR_dB,BER_FSK_MP,BER_BPSK_MP
-5,0.44705071363204935,0.2867145275814431
-4,0.4342797674410888,0.263789505256266
-3,0.4187195666348928,0.23922871076767194
-2,0.39992070995516893,0.2132280183576204
-1,0.3774497456898958,0.186113817483389
0,0.3509469969525418,0.15836831880959795
1,0.3202117927965799,0.13064448852282917
2,0.285316437477168,0.10375909595340632
3,0.24674103025700087,0.07864960352514258
4,0.20550459492172343,0.05628195197654147
5,0.16324424733158666,0.03750612835892598
6,0.122170380605834,0.02287840756108532
7,0.08482083023985477,0.01250081804073755
8,0.05358076478231599,0.005953867147778662
9,0.030051166307884274,0.002388290780932807
10,0.014510596512635556,0.0007726748153784446
11,0.0058028745552645,0.00019090777407599314
12,0.0018303657804592853,3.3627228419617505e-05
13,0.0004282365176544534,3.872108215522035e-06
14,6.878366759908214e-05,2.613067953575199e-07
15,6.880956610906067e-06,9.006010350628754e-09
16,3.792531788244573e-07,1.3329310175300506e-10
17,9.869500010923432e-09,1e-10
18,1e-10,1e-10
19,1e-10,1e-10
20,1e-10,1e-10
