SNR_dB,BER_No_ECC,BER_With_ECC
-5,0.44705071363204935,0.5
-4,0.4342797674410888,0.5
-3,0.4187195666348928,0.5
-2,0.39992070995516893,0.5
-1,0.3774497456898958,0.5
0,0.3509469969525418,0.5
1,0.3202117927965799,0.5
2,0.285316437477168,0.5
3,0.24674103025700087,0.5
4,0.20550459492172343,0.4383801825555894
5,0.16324424733158666,0.3205771102634751
6,0.122170380605834,0.20701398111175556
7,0.08482083023985477,0.11344760244747601
8,0.05358076478231599,0.05035026125397787
9,0.030051166307884274,0.01714843628102436
10,0.014510596512635556,0.004212435081260414
11,0.0058028745552645,0.0006935807656847897
12,0.0018303657804592853,6.99269421184915e-05
13,0.0004282365176544534,3.845623049932623e-06
14,6.878366759908214e-05,9.933227383009044e-08
15,6.880956610906067e-06,9.94276035982708e-10
16,3.792531788244573e-07,1e-10
17,9.869500010923432e-09,1e-10
18,1e-10,1e-10
19,1e-10,1e-10
20,1e-10,1e-10
