SNR_dB,PSNR_dB,SSIM
-5,3.6676655708838597,0.1382586288357174
-4,3.518716198568111,0.11098741516174174
-3,3.8801748474547093,0.1792254154546146
-2,3.8820937841549057,0.17926332776460163
-1,4.199916365316658,0.23772180082129896
0,4.472643814082852,0.2864146203429828
1,5.237828059317999,0.4014323068593796
2,5.4184507813142995,0.4238836195299079
3,6.423070948375242,0.5437925154554107
4,6.850114406359507,0.5857286473093973
5,7.895148018351228,0.6724804228547651
6,9.581079103895615,0.7787730392981247
7,11.006598991463191,0.8391305141871523
8,12.652411101263041,0.8879233998632597
9,15.609608540528056,0.9424844013455188
10,18.580648977141564,0.9688077075404583
11,29.49013411929979,0.9814795129728943
12,50.64431241869965,0.9970755407439551
13,60.0,1.0
14,60.0,1.0
15,60.0,1.0
16,60.0,1.0
17,60.0,1.0
18,60.0,1.0
19,60.0,1.0
20,60.0,1.0
